cbsa_code,cbsa_name,finance,information,logistics,manufacturing,professional_services,demand_index,primary_city,state,cbsa_name_u,is_candidate
40660,"Rome, GA",654,339,1605,7024,746,3505.7000000000003,Rome,GA,"ROME, GA",False
40700,"Roseburg, OR",899,346,1377,4068,957,2321.6,Roseburg,OR,"ROSEBURG, OR",False
40740,"Roswell, NM",460,184,831,843,644,761.3,Roswell,NM,"ROSWELL, NM",False
40760,"Ruidoso, NM",143,63,107,140,134,129.2,Ruidoso,NM,"RUIDOSO, NM",False
40780,"Russellville, AR",627,169,1593,6349,738,3227.8,Russellville,AR,"RUSSELLVILLE, AR",False
40820,"Ruston, LA",695,204,412,1626,730,989.5000000000001,Ruston,LA,"RUSTON, LA",False
40860,"Rutland, VT",468,196,309,3391,623,1620.5,Rutland,VT,"RUTLAND, VT",False
40900,"Sacramento--Arden-Arcade--Roseville, CA",40017,16086,40804,35357,64953,43376.299999999996,Sacramento,CA,"SACRAMENTO--ARDEN-ARCADE--ROSEVILLE, CA",False
40940,"Safford, AZ",110,77,297,231,511,294.7,Safford,AZ,"SAFFORD, AZ",False
40980,"Saginaw-Saginaw Township North, MI",2847,1068,2321,11130,2156,5864.2,Saginaw,MI,"SAGINAW-SAGINAW TOWNSHIP NORTH, MI",False
41060,"St. Cloud, MN",3734,1343,5061,15490,2622,8612.1,St. Cloud,MN,"ST. CLOUD, MN",False
41100,"St. George, UT",1694,1025,4181,3803,3433,3631.5,St. George,UT,"ST. GEORGE, UT",False
41140,"St. Joseph, MO-KS",1348,644,2087,11720,1315,5711.900000000001,St. Joseph,MO-KS,"ST. JOSEPH, MO-KS",False
41180,"St. Louis, MO-IL",74409,26822,56123,113330,86910,86991.79999999999,St. Louis,MO-IL,"ST. LOUIS, MO-IL",False
41220,"St. Marys, GA",263,129,90,258,1681,492.70000000000005,St. Marys,GA,"ST. MARYS, GA",False
41260,"St. Marys, PA",212,128,391,6060,286,2619.7,St. Marys,PA,"ST. MARYS, PA",False
41420,"Salem, OR",3839,2052,7082,12280,4883,8397.1,Salem,OR,"SALEM, OR",False
41460,"Salina, KS",849,160,1435,5723,803,2965.2000000000003,Salina,KS,"SALINA, KS",False
41500,"Salinas, CA",2254,1341,3114,8411,8219,6167.8,Salinas,CA,"SALINAS, CA",False
41540,"Salisbury, MD",1089,815,1428,2666,1370,1877.7000000000003,Salisbury,MD,"SALISBURY, MD",False
41580,"Salisbury, NC",622,296,3440,10742,905,5572.0,Salisbury,NC,"SALISBURY, NC",False
41620,"Salt Lake City, UT",54870,33175,39443,61927,52690,52628.700000000004,Salt Lake City,UT,"SALT LAKE CITY, UT",False
41660,"San Angelo, TX",1788,779,935,3199,1702,2079.3,San Angelo,TX,"SAN ANGELO, TX",False
41700,"San Antonio-New Braunfels, TX",74531,18028,43129,51922,58723,52905.2,San Antonio,TX,"SAN ANTONIO-NEW BRAUNFELS, TX",True
41740,"San Diego-Carlsbad-San Marcos, CA",58138,36081,35792,100034,181028,92770.6,San Diego,CA,"SAN DIEGO-CARLSBAD-SAN MARCOS, CA",True
41780,"Sandusky, OH",554,602,645,5919,669,2750.3,Sandusky,OH,"SANDUSKY, OH",False
41820,"Sanford, NC",353,158,350,9542,569,4070.9000000000005,Sanford,NC,"SANFORD, NC",False
41860,"San Francisco-Oakland-Fremont, CA",144823,256276,92132,140542,324769,163292.5,San Francisco,CA,"SAN FRANCISCO-OAKLAND-FREMONT, CA",False
41900,"San Germán-Cabo Rojo, PR",262,119,161,3865,452,1710.9,San Germán,PR,"SAN GERMÁN-CABO ROJO, PR",False
41940,"San Jose-Sunnyvale-Santa Clara, CA",27399,150666,15132,98703,175668,81894.29999999999,San Jose,CA,"SAN JOSE-SUNNYVALE-SANTA CLARA, CA",False
41980,"San Juan-Caguas-Guaynabo, PR",27275,14063,14545,46732,32095,32202.8,San Juan,PR,"SAN JUAN-CAGUAS-GUAYNABO, PR",False
42020,"San Luis Obispo-Paso Robles, CA",2062,2504,1761,7475,5784,4881.3,San Luis Obispo,CA,"SAN LUIS OBISPO-PASO ROBLES, CA",False
42060,"Santa Barbara-Santa Maria-Goleta, CA",4158,6693,3479,13078,12440,9178.7,Santa Barbara,CA,"SANTA BARBARA-SANTA MARIA-GOLETA, CA",False
42100,"Santa Cruz-Watsonville, CA",2391,775,1656,5109,5630,3905.5,Santa Cruz,CA,"SANTA CRUZ-WATSONVILLE, CA",False
42140,"Santa Fe, NM",1621,717,879,849,2619,1289.1999999999998,Santa Fe,NM,"SANTA FE, NM",False
42180,"Santa Isabel, PR",54,46,59,1794,41,748.9000000000001,Santa Isabel,PR,"SANTA ISABEL, PR",False
