rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,is_candidate,demand_index,score_baseline,score_flo,score_flo_recalc,score_flo_error,demand_norm,w_demand,contrib_demand,enterprise_fit_norm,w_enterprise_fit,contrib_enterprise_fit,cloud_adjacency_norm,w_cloud_adjacency,contrib_cloud_adjacency,resilience_norm,w_resilience,contrib_resilience,capex_friction_norm,w_capex_friction,contrib_capex_friction
448,607,24100,"Gloversville, NY",Gloversville,NY,False,1424.0,0.003218114423836925,0.06882179262174537,0.06882179262174537,0.0,0.003218114423836925,0.3,0.0009654343271510774,0.005346923081209702,0.2,0.0010693846162419406,0.00038224212308196365,0.2,7.644842461639273e-05,0.7720239968539795,0.15,0.11580359952809692,0.3272871618290731,-0.15,-0.04909307427436096
449,313,45900,"Traverse City, MI",Traverse City,MI,False,3660.8,0.008356071842279777,0.06868800039912043,0.06868800039912043,0.0,0.008356071842279777,0.3,0.002506821552683933,0.011647877669978655,0.2,0.0023295755339957313,0.002164122696847508,0.2,0.00043282453936950165,0.8723791042941651,0.15,0.13085686564412477,0.4495872458070234,-0.15,-0.06743808687105352
450,693,10140,"Aberdeen, WA",Aberdeen,WA,False,1077.7,0.002422659017002716,0.06848509813925349,0.06848509813925349,0.0,0.002422659017002716,0.3,0.0007267977051008147,0.003877424783643263,0.2,0.0007754849567286527,0.00037362012030567874,0.2,7.472402406113576e-05,0.7473238691701615,0.15,0.11209858037552421,0.3012699261477422,-0.15,-0.04519048892216133
451,216,31420,"Macon, GA",Macon,GA,False,5735.800000000001,0.013122372648462234,0.06845671561161172,0.06845671561161172,0.0,0.013122372648462234,0.3,0.00393671179453867,0.01686997419879743,0.2,0.003373994839759486,0.0025521128217803287,0.2,0.0005104225643560657,0.9168335685363556,0.15,0.13752503528045332,0.5125963257833054,-0.15,-0.07688944886749581
452,137,11460,"Ann Arbor, MI",Ann Arbor,MI,False,10409.9,0.023858838478909176,0.06839105601131322,0.06839105601131322,0.0,0.023858838478909176,0.3,0.007157651543672753,0.028189067645960686,0.2,0.005637813529192137,0.015743777069496215,0.2,0.003148755413899243,0.9212133945018586,0.15,0.13818200917527879,0.5715678243381981,-0.15,-0.0857351736507297
453,617,46380,"Ukiah, CA",Ukiah,CA,False,1391.1,0.00314254271466902,0.0683732715366065,0.0683732715366065,0.0,0.00314254271466902,0.3,0.0009427628144007059,0.004936221433387759,0.2,0.000987244286677552,0.0008162162628216367,0.2,0.00016324325256432734,0.7722715192409918,0.15,0.11584072788614877,0.33040471135456567,-0.15,-0.04956070670318485
454,222,13380,"Bellingham, WA",Bellingham,WA,False,5628.799999999999,0.012876592317733785,0.06830669972693425,0.06830669972693425,0.0,0.012876592317733785,0.3,0.0038629776953201353,0.01887388617378754,0.2,0.003774777234757508,0.0047708415362109746,0.2,0.0009541683072421949,0.8878497383677142,0.15,0.13317746075515713,0.48975122843695146,-0.15,-0.07346268426554271
455,415,14740,"Bremerton-Silverdale, WA",Bremerton,WA,False,2465.8,0.0056111419804060255,0.06816326587956043,0.06816326587956043,0.0,0.0056111419804060255,0.3,0.0016833425941218075,0.004872136373008487,0.2,0.0009744272746016974,0.002037666656128663,0.2,0.0004075333312257327,0.8601511616280607,0.15,0.1290226742442091,0.4261647437639861,-0.15,-0.06392471156459792
456,245,26580,"Huntington-Ashland, WV-KY-OH",Huntington,WV-KY-OH,False,4855.400000000001,0.011100082899178843,0.06809654630476072,0.06809654630476072,0.0,0.011100082899178843,0.3,0.003330024869753653,0.01634670574926581,0.2,0.003269341149853162,0.003193015028150839,0.2,0.0006386030056301678,0.8773179600271561,0.15,0.13159769400407342,0.471594111496998,-0.15,-0.07073911672454969
457,259,17860,"Columbia, MO",Columbia,MO,False,4605.700000000001,0.010526518893731249,0.06804087879422739,0.06804087879422739,0.0,0.010526518893731249,0.3,0.0031579556681193745,0.011768803392607372,0.2,0.0023537606785214746,0.0036068711614125138,0.2,0.0007213742322825028,0.9106259664437087,0.15,0.1365938949665563,0.4985740450083484,-0.15,-0.07478610675125226
