rank_border_flo,rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,manufacturing,logistics,information,finance,professional_services,demand_index,demand_norm,enterprise_fit,cloud_adjacency,resilience,capex_friction,score_baseline,score_flo,is_candidate
14,31,939,43500,"Silver City, NM",Silver City,NM,112,76,76,185,174,120.9,0.00022487751755434333,97.60000000000001,76,0.7717331093528184,6.436150368369428,0.00022487751755434333,0.12844708897492707,False
15,33,942,21580,"Espanola, NM",Espanola,NM,128,32,138,127,190,111.5,0.0002032856006492276,89.6,138,0.7655337431423095,6.423246963533519,0.0002032856006492276,0.12741597626815218,False
16,40,944,29780,"Las Vegas, NM",Las Vegas,NM,30,198,45,115,85,99.9,0.00017664025638334017,97.2,45,0.7202910664241113,6.161207321695077,0.00017664025638334017,0.12236040842131929,False
17,41,935,13860,"Bishop, CA",Bishop,CA,211,76,48,50,162,144.6,0.00027931671230447543,157.0,48,0.7281331778121647,6.306275286948016,0.00027931671230447543,0.12168582579815548,False
18,43,925,37740,"Payson, AZ",Payson,AZ,172,255,111,157,323,225.6,0.00046537471967834476,205.2,111,0.7723607674819843,6.926577033222725,0.00046537471967834476,0.12081912581528423,False
19,46,914,17340,"Clearlake, CA",Clearlake,CA,351,159,115,187,281,263.0,0.0005512829848114647,274.2,115,0.7692736527632802,6.9975959829819265,0.0005512829848114647,0.11911108547665938,False
20,54,912,46620,"Uvalde, TX",Uvalde,TX,208,356,66,225,316,275.7,0.000580455042757738,267.2,66,0.7631072874862989,7.066466970136958,0.000580455042757738,0.11672006829993196,False
21,55,926,11380,"Andrews, TX",Andrews,TX,125,368,91,144,193,213.4,0.0004373511679504287,222.20000000000002,91,0.7438051214218601,6.826545223556594,0.0004373511679504287,0.11659999202856709,False
22,57,923,30220,"Levelland, TX",Levelland,TX,210,360,61,172,100,229.2,0.00047364396445051673,270.0,61,0.7338697512536654,6.806829360392176,0.00047364396445051673,0.11491263961579967,False
23,58,34,12420,"Austin-Round Rock-San Marcos, TX",Austin,TX,49717,26680,55037,47076,131666,58931.6,0.13531378682943604,40502.2,55037,0.7322005346827436,12.644898381263202,0.13531378682943604,0.11490529079694953,True
24,59,924,45340,"Taos, NM",Taos,NM,284,76,96,187,359,226.9,0.0004683608358460736,200.8,96,0.7415368863072258,6.910750787961936,0.0004683608358460736,0.11477999301964714,False
25,65,949,39700,"Raymondville, TX",Raymondville,TX,0,28,150,72,37,23.0,0.0,11.200000000000001,150,0.6377642074081269,5.662960480135946,0.0,0.11352911169482391,False
26,70,934,40100,"Rio Grande City-Roma, TX",Rio Grande City,TX,29,275,51,269,136,148.2,0.0002875859570766474,127.4,51,0.7058102493074792,6.634633357861686,0.0002875859570766474,0.11182770607341015,False
27,71,844,43320,"Show Low, AZ",Show Low,AZ,598,563,364,310,416,522.3,0.001146898309651518,584.0,364,0.7876011865795961,7.719573989259581,0.001146898309651518,0.11170009122768543,False
28,77,899,10860,"Alice, TX",Alice,TX,246,495,67,294,144,305.1,0.0006479872083971425,345.6,67,0.7312736229449487,7.1284959456800365,0.0006479872083971425,0.10929435064435,False
29,78,918,10460,"Alamogordo, NM",Alamogordo,NM,100,211,201,385,533,248.4,0.000517746603235434,144.4,201,0.7421702772751724,7.266128779556451,0.000517746603235434,0.10922237685270182,False
30,80,860,23700,"Gallup, NM",Gallup,NM,440,645,167,355,245,454.0,0.000990012360223922,522.0,167,0.7598871571915715,7.52456122628536,0.000990012360223922,0.1089996908105464,False
31,85,823,17580,"Clovis, NM",Clovis,NM,779,519,248,400,430,593.3,0.0013099861926582428,675.0,248,0.772804149803308,7.773594467360194,0.0013099861926582428,0.10784525407230683,False
32,86,903,40940,"Safford, AZ",Safford,AZ,231,297,77,110,511,294.7,0.0006240982790553123,257.4,77,0.7200939939164752,7.112327444710911,0.0006240982790553123,0.1072252761346735,False
33,96,36,41700,"San Antonio-New Braunfels, TX",San Antonio,TX,51922,43129,18028,74531,58723,52905.2,0.12147107108082016,48404.8,18028,0.7711884253228157,12.414443617618513,0.12147107108082016,0.10554817818096038,True
34,103,858,23240,"Fredericksburg, TX",Fredericksburg,TX,800,142,294,341,339,464.50000000000006,0.0010141309908094237,536.8,294,0.7336455777302227,7.558516743045645,0.0010141309908094237,0.10319069253171216,False
35,104,811,24180,"Granbury, TX",Granbury,TX,890,333,197,584,637,641.6999999999999,0.0014211615945952216,667.2,197,0.7578993820826477,7.879291485082271,0.0014211615945952216,0.10310189759327681,False
36,105,773,40740,"Roswell, NM",Roswell,NM,843,831,184,460,644,761.3,0.0016958842820262682,838.2,184,0.765040729729397,7.993957547573565,0.0016958842820262682,0.10287906495578149,False
